Mem_used Mem_free Mem_total Mem_Disp Date Time Elapsed_time
1571248 3560300 7088316 5276672 2022-12-26 21:39:31 510
1571184 3560348 7088316 5276736 2022-12-26 21:39:36 515
1570564 3560956 7088316 5277364 2022-12-26 21:39:41 520
1573208 3558296 7088316 5274720 2022-12-26 21:39:46 525
1571112 3560380 7088316 5276812 2022-12-26 21:39:51 530
1569724 3561756 7088316 5278200 2022-12-26 21:39:56 535
1571536 3559924 7088316 5276384 2022-12-26 21:40:01 540
1572184 3559268 7088316 5275736 2022-12-26 21:40:06 545
1572236 3559204 7088316 5275684 2022-12-26 21:40:11 550
1570656 3560768 7088316 5277264 2022-12-26 21:40:17 555
1570372 3561036 7088316 5277544 2022-12-26 21:40:22 560
1570840 3560552 7088316 5277080 2022-12-26 21:40:27 565
1570924 3560452 7088316 5276996 2022-12-26 21:40:32 570
1569284 3562080 7088316 5278640 2022-12-26 21:40:37 575
1570776 3560576 7088316 5277152 2022-12-26 21:40:42 580
1570872 3560464 7088316 5277056 2022-12-26 21:40:47 585
1571504 3559820 7088316 5276428 2022-12-26 21:40:52 590
1572384 3558924 7088316 5275548 2022-12-26 21:40:57 595
1572540 3558756 7088316 5275396 2022-12-26 21:41:02 600
1571708 3559568 7088316 5276224 2022-12-26 21:41:07 605
1570804 3560456 7088316 5277128 2022-12-26 21:41:12 610
1572800 3558444 7088316 5275132 2022-12-26 21:41:17 615
1571528 3559704 7088316 5276404 2022-12-26 21:41:22 620
1572136 3559084 7088316 5275796 2022-12-26 21:41:27 625
1573624 3557580 7088316 5274316 2022-12-26 21:41:32 630
1572432 3558760 7088316 5275512 2022-12-26 21:41:37 635
1573536 3557640 7088316 5274408 2022-12-26 21:41:42 640
1572372 3558792 7088316 5275572 2022-12-26 21:41:47 645
1571404 3559728 7088316 5276632 2022-12-26 21:41:52 650
1572696 3558428 7088316 5275344 2022-12-26 21:41:57 655
1573244 3557860 7088316 5274796 2022-12-26 21:42:02 660
1573512 3557564 7088316 5274520 2022-12-26 21:42:07 665
1572608 3558456 7088316 5275424 2022-12-26 21:42:12 670
1573544 3557504 7088316 5274488 2022-12-26 21:42:17 675
1573324 3557712 7088316 5274712 2022-12-26 21:42:22 680
1572544 3558476 7088316 5275488 2022-12-26 21:42:27 685
1574104 3556904 7088316 5273928 2022-12-26 21:42:32 690
1572924 3558064 7088316 5275104 2022-12-26 21:42:37 695
1573764 3557212 7088316 5274272 2022-12-26 21:42:42 700
1572324 3558636 7088316 5275712 2022-12-26 21:42:47 705
1572784 3558160 7088316 5275256 2022-12-26 21:42:52 710
1571448 3559484 7088316 5276596 2022-12-26 21:42:57 715
1572140 3558776 7088316 5275904 2022-12-26 21:43:03 720
1572872 3558036 7088316 5275172 2022-12-26 21:43:08 725
1572644 3558240 7088316 5275400 2022-12-26 21:43:13 730
1571524 3559352 7088316 5276520 2022-12-26 21:43:18 735
1570068 3560792 7088316 5277972 2022-12-26 21:43:23 740
1572820 3558028 7088316 5275212 2022-12-26 21:43:28 745
1572664 3558172 7088316 5275368 2022-12-26 21:43:33 750
1571052 3559768 7088316 5276980 2022-12-26 21:43:38 755
1572320 3558484 7088316 5275764 2022-12-26 21:43:43 760
1573184 3557604 7088316 5274900 2022-12-26 21:43:48 765
1573248 3557528 7088316 5274836 2022-12-26 21:43:53 770
1573668 3557092 7088316 5274416 2022-12-26 21:43:58 775
1572816 3557932 7088316 5275264 2022-12-26 21:44:03 780
1571528 3559204 7088316 5276548 2022-12-26 21:44:08 785
1572348 3558372 7088316 5275728 2022-12-26 21:44:13 790
1574324 3556384 7088316 5273756 2022-12-26 21:44:18 795
1572204 3558484 7088316 5275884 2022-12-26 21:44:23 800
1571472 3559204 7088316 5276612 2022-12-26 21:44:28 805
1573876 3556784 7088316 5274208 2022-12-26 21:44:33 810
1572996 3557652 7088316 5275088 2022-12-26 21:44:38 815
1573316 3557320 7088316 5274760 2022-12-26 21:44:43 820
1572316 3558300 7088316 5275756 2022-12-26 21:44:48 825
1573364 3557236 7088316 5274708 2022-12-26 21:44:53 830
1573932 3556656 7088316 5274200 2022-12-26 21:44:58 835
1570968 3559600 7088316 5277168 2022-12-26 21:45:03 840
1572932 3557616 7088316 5275240 2022-12-26 21:45:08 845
1573344 3557192 7088316 5274752 2022-12-26 21:45:13 850
1573156 3557364 7088316 5274964 2022-12-26 21:45:18 855
1572664 3557844 7088316 5275468 2022-12-26 21:45:23 860
1574060 3556292 7088316 5274000 2022-12-26 21:45:28 865
1572368 3557972 7088316 5275692 2022-12-26 21:45:33 870
1570120 3560204 7088316 5277932 2022-12-26 21:45:39 875
1571104 3559224 7088316 5276956 2022-12-26 21:45:44 880
1570840 3559476 7088316 5277176 2022-12-26 21:45:49 885
1569432 3560864 7088316 5278580 2022-12-26 21:45:54 890
1570236 3560044 7088316 5277776 2022-12-26 21:45:59 895
1569032 3561236 7088316 5278968 2022-12-26 21:46:04 900
1568500 3561756 7088316 5279512 2022-12-26 21:46:09 905
1569888 3560336 7088316 5278116 2022-12-26 21:46:14 910
1569900 3560316 7088316 5278104 2022-12-26 21:46:19 915
1569460 3560736 7088316 5278544 2022-12-26 21:46:24 920
1569912 3560272 7088316 5278092 2022-12-26 21:46:29 925
1571856 3558316 7088316 5276148 2022-12-26 21:46:34 930
1571980 3558188 7088316 5276024 2022-12-26 21:46:39 935
1568976 3561180 7088316 5279028 2022-12-26 21:46:44 940
1571032 3559108 7088316 5276972 2022-12-26 21:46:49 945
1571448 3558680 7088316 5276556 2022-12-26 21:46:54 950
1571644 3558468 7088316 5276316 2022-12-26 21:46:59 955
1573856 3556240 7088316 5274176 2022-12-26 21:47:04 960
1574832 3555248 7088316 5273200 2022-12-26 21:47:09 965
1573188 3556880 7088316 5274844 2022-12-26 21:47:14 970
1571812 3558244 7088316 5276220 2022-12-26 21:47:19 975
1573396 3556644 7088316 5274636 2022-12-26 21:47:24 980
1573548 3556480 7088316 5274484 2022-12-26 21:47:29 985
1572964 3557048 7088316 5275076 2022-12-26 21:47:34 990
1573832 3556168 7088316 5274208 2022-12-26 21:47:39 995
1574756 3555228 7088316 5273280 2022-12-26 21:47:44 1000
1574548 3555424 7088316 5273492 2022-12-26 21:47:49 1005
1573108 3556848 7088316 5274932 2022-12-26 21:47:54 1010
1573436 3556508 7088316 5274680 2022-12-26 21:47:59 1015
1574048 3555884 7088316 5274064 2022-12-26 21:48:04 1020
1571868 3558048 7088316 5276244 2022-12-26 21:48:09 1025
1570804 3559100 7088316 5277308 2022-12-26 21:48:14 1030
1573352 3556536 7088316 5274676 2022-12-26 21:48:20 1035
1572064 3557812 7088316 5275964 2022-12-26 21:48:25 1040
1571632 3558228 7088316 5276396 2022-12-26 21:48:30 1045
1572456 3557392 7088316 5275572 2022-12-26 21:48:35 1050
1572112 3557724 7088316 5275784 2022-12-26 21:48:40 1055
1572628 3557192 7088316 5275268 2022-12-26 21:48:45 1060
